ID,Date,SalePrice,PropertyID,PropertyType,Bedrooms,Bathrooms,SqFtTotLiving,SqFtLot,YrBuilt
261,5/4/09,310000,108000117,Townhouse,3,2.5,1290,2290,2005
262,10/9/06,399000,108000121,Townhouse,3,2.5,1440,1975,2006
263,11/2/07,399950,108000139,Townhouse,3,2.5,1410,1427,2007
264,11/30/06,307450,109200040,Single Family,3,1.75,1830,7272,1979
265,3/27/08,319950,109200210,Single Family,3,2.25,2240,7000,1981
266,8/20/14,245000,109200390,Single Family,3,1.75,1480,3900,1980
267,7/17/06,297000,109200410,Single Family,3,2.5,1490,6800,1987
268,4/5/07,329950,109200530,Single Family,3,1.75,1940,5950,1979
269,4/4/06,315000,109210190,Single Family,3,2.75,2010,7500,1983
270,1/16/07,299950,109210370,Single Family,3,2.5,1910,6930,1981
271,8/29/06,329500,110700010,Single Family,2,2.25,1570,9904,1983
272,3/2/12,73000,111000049,Single Family,5,2.5,2120,7201,2012
273,3/12/12,73000,111000051,Single Family,5,2.5,2110,7561,2012
274,12/29/06,229950,111000086,Single Family,4,2,1400,10101,1942
275,2/9/15,146000,111000190,Single Family,2,1,780,9750,1937
276,2/23/08,63000,111000456,Single Family,5,2,2090,7212,2012
277,8/8/07,380950,112900080,Single Family,3,2.5,1620,5031,2000
278,9/8/08,335000,112900110,Single Family,3,2.5,1620,5992,2001
279,2/1/07,419950,112900140,Single Family,3,2.25,1980,4643,2001
280,10/17/08,380000,112900140,Single Family,3,2.25,1980,4643,2001
281,7/21/06,375000,112900200,Single Family,3,2.25,1960,4354,2000
282,4/25/06,359950,112900210,Single Family,3,2.25,1510,3577,2000
283,4/30/07,497500,114100084,Single Family,2,1,920,33300,1946
284,6/24/09,480000,114100090,Single Family,3,2.5,2680,7727,2007
285,11/17/11,400000,114100097,Single Family,4,2.5,2570,5267,2007
286,2/12/07,355950,114100235,Single Family,3,1,1410,9584,1951
287,4/25/06,600000,114100294,Multiplex,7,4.5,3930,44083,1992
288,9/23/13,390000,114100297,Single Family,3,1.75,1560,8456,1970
289,6/14/12,445000,114100304,Single Family,4,2.5,2800,21370,2003
290,8/16/07,308950,114100354,Single Family,3,1,1090,10296,1950
291,5/18/06,240000,114100364,Single Family,4,2.75,3660,8759,2007
292,12/18/07,800000,114100364,Single Family,4,2.75,3660,8759,2007
293,1/18/06,310000,114100633,Single Family,2,1,1210,13167,1949
294,8/21/07,302000,114100763,Single Family,3,0.75,1040,15000,1941
295,4/3/15,250000,114100791,Single Family,3,1.5,1170,9848,1963
296,1/31/07,454000,114101162,Single Family,4,2.5,1940,15632,2007
297,8/16/06,225000,114600150,Single Family,3,1.75,1360,9695,1969
298,12/11/06,585000,117000001,Single Family,4,4.25,1960,3565,1940
299,5/9/07,655000,117000100,Single Family,3,1.75,2160,5750,1909
300,2/4/08,635000,117000100,Single Family,3,1.75,2160,5750,1909
301,9/14/07,799000,120059082,Single Family,4,3,2880,435191,1965
302,10/6/06,280000,121029073,Single Family,3,1.75,1200,58411,1978
303,3/27/07,449950,121039131,Single Family,5,2.5,2750,18910,1967
304,5/1/06,255000,121059007,Single Family,4,1,1200,43560,1968
305,9/15/10,357000,121059038,Single Family,3,2.75,2500,35245,2000
306,6/23/10,350000,122069093,Single Family,3,2.25,3030,108028,2013
307,9/10/07,420000,123000110,Single Family,2,1,910,5000,1924
308,4/18/07,468000,123000225,Single Family,2,2,1190,5000,1915
309,4/6/06,168000,123039097,Single Family,2,1,660,4000,1935
310,8/28/06,320000,123039124,Single Family,3,1,1260,4196,1942
311,5/12/06,275000,123039151,Single Family,3,1.75,1200,6800,1990
312,3/20/06,317000,123039235,Single Family,2,1,1240,29228,1939
313,6/11/14,148000,123039336,Single Family,2,1,620,8261,1939
314,1/30/06,324950,123039364,Single Family,2,1,970,13700,1949
315,12/14/12,224950,123039383,Single Family,2,1,840,7874,1956
316,10/13/06,325000,123039420,Single Family,3,1,1300,7200,1952
317,5/14/08,395000,123039427,Single Family,5,2,2110,14000,1944
318,6/20/07,310000,123039471,Single Family,5,2,1570,10000,1953
319,3/23/10,379000,123039545,Single Family,5,2.75,2620,8803,2008
320,1/23/06,399950,123039555,Single Family,3,1.5,1310,21534,1961
321,7/1/14,102500,123039604,Single Family,4,2.5,2280,4320,2015
322,9/10/13,390000,123059042,Single Family,3,2.25,2190,220414,1976
323,4/5/07,550000,123059064,Single Family,4,2.5,2600,51836,1987
324,11/20/12,401500,123059085,Single Family,4,2.75,2500,43560,1977
325,4/19/06,625000,124059070,Single Family,3,2.5,1800,13187,1975
326,4/12/07,1350000,124500030,Single Family,4,2.25,3370,9411,1988
327,5/20/09,480000,125039021,Single Family,2,1,1230,2726,1920
328,2/17/06,432000,125039025,Single Family,3,1.75,1550,3680,1927
329,11/4/09,525500,125039039,Single Family,3,1,1420,3750,1927
330,3/28/08,469922,125039072,Single Family,3,1,1240,4000,1930
331,3/27/12,1692000,125069038,Single Family,4,3.75,5150,963702,1997
332,5/31/07,579500,126039060,Single Family,7,4.75,4700,8212,1980
333,3/24/10,345000,126039206,Single Family,4,2.5,2130,9800,1959
334,7/25/13,385000,126039252,Single Family,4,1.5,1840,11367,1950
335,6/3/08,490500,126039256,Single Family,2,3,2280,5040,1977
336,2/23/06,480000,126039296,Single Family,4,2.75,2650,7299,2005
337,2/13/09,562500,126039296,Single Family,4,2.75,2650,7299,2005
338,7/11/07,415000,126039323,Single Family,5,1.75,2060,10911,1954
339,8/13/07,399900,126039341,Single Family,5,1,2020,10200,1959
340,6/8/09,640000,126039467,Single Family,4,2.5,3040,7200,2008
341,7/27/07,280000,126039507,Single Family,2,1,860,9306,1942
342,6/5/06,370000,126039588,Single Family,4,3,2100,9004,1903
343,9/13/07,500000,126039610,Single Family,6,3.5,2560,7590,2006
344,5/24/10,351500,126039640,Single Family,3,2.25,1830,8800,1991
345,3/22/07,839000,126039682,Single Family,4,2.5,3220,7992,2007
346,8/6/13,589000,126039691,Single Family,3,2.5,2860,7215,2009
347,5/17/12,148000,126039692,Single Family,4,2.5,2700,7203,2012
348,6/6/07,450000,126049026,Single Family,3,1,1170,30964,1946
349,8/28/06,395000,126049100,Single Family,3,1.75,1830,27468,1954
350,3/19/07,899950,126049117,Single Family,4,2.75,2510,31500,1930
351,2/7/06,360000,126049134,Single Family,4,2.75,2300,14928,1978
352,7/27/07,393000,126049211,Single Family,3,2.5,1720,10400,1992
353,12/4/07,378000,126049217,Single Family,3,1.75,1530,10731,1986
354,6/2/09,435000,126049238,Single Family,5,3.5,3330,4524,2008
355,8/3/11,379950,126049240,Single Family,4,2.5,2550,4506,2011
356,3/13/07,559950,126049249,Single Family,4,2.5,2730,5883,2006
357,12/26/08,485000,126059242,Single Family,3,1.75,1880,45738,1980
358,10/24/07,680000,126059282,Single Family,4,3,2450,52648,1999
359,6/21/06,355000,127100015,Single Family,3,1,1130,6500,1948
360,10/31/06,290000,128500060,Single Family,4,2.75,2180,4500,2004
361,4/16/07,295000,128500240,Single Family,3,2.5,1570,4774,2003
362,4/9/10,230000,128500320,Single Family,4,2.5,2020,5000,2003
363,5/5/08,297000,133000030,Single Family,2,2,1110,8000,1937
364,6/23/14,265000,133000127,Single Family,3,2.25,1620,9450,1928
365,8/2/07,314000,133000200,Single Family,2,1,1690,14746,1948
366,6/9/10,187000,133000530,Multiplex,4,4,2450,7667,1920
367,9/26/07,365539,136000085,Single Family,2,1,1540,2775,1952
368,1/29/09,560000,136000220,Single Family,2,2.5,2000,2500,1994
369,3/18/08,588500,136000270,Single Family,3,1.75,1970,6000,1910
370,7/26/11,485000,136000270,Single Family,3,1.75,1970,6000,1910
371,2/14/07,812500,139000130,Multiplex,4,2,1680,6435,1920
372,4/28/15,800000,139000185,Multiplex,3,2.5,2100,4440,1945
373,4/22/08,740000,142000165,Single Family,4,2.75,2600,6050,1949
374,9/5/07,660000,145000035,Single Family,3,1.5,2620,4844,1927
375,7/13/07,795000,148000070,Townhouse,3,2.5,1800,1885,2011
376,5/2/12,520000,148000072,Townhouse,2,2.5,1830,1988,2011
377,6/22/06,850000,148000539,Single Family,4,3.75,3090,8239,1925
378,9/15/06,775000,148000590,Single Family,4,2.75,2440,7042,1941
379,3/2/11,665000,148000596,Single Family,3,2.5,2790,4296,2007
380,11/13/06,730000,148000616,Single Family,3,3,2580,7900,1961
381,5/23/12,595000,148000661,Single Family,3,2.75,2340,4800,1947
382,6/20/11,750000,148000705,Single Family,4,3.5,3070,4440,1922
383,5/9/06,832000,152000030,Multiplex,3,2.75,2110,4718,1951
384,7/1/08,1010000,153000035,Townhouse,3,3.25,2380,1838,2005
385,8/10/06,1171000,158000015,Single Family,4,3.5,2970,13345,1993
386,4/12/06,665000,161000120,Single Family,4,2,2850,4497,1910
387,8/29/12,635000,161900030,Single Family,4,3.25,3020,9244,1989
388,7/31/06,341000,164000181,Single Family,3,1.75,1700,6342,1923
389,1/5/06,369950,164000196,Single Family,2,1,1240,10500,1936
390,9/5/06,300000,164000261,Single Family,4,3.25,2780,7875,2006
391,8/3/07,759000,164000261,Single Family,4,3.25,2780,7875,2006
392,7/22/06,330000,164000271,Single Family,3,1,980,7228,1946
393,8/6/07,449000,164000295,Single Family,3,2.5,1440,7980,1979
394,6/30/08,485000,164000302,Single Family,3,2.25,2080,7350,1990
395,6/23/06,420000,164000360,Single Family,1,1,860,9167,1934
396,7/31/13,660000,164000395,Single Family,4,2.5,2580,7896,2013
397,10/26/06,820000,164000411,Single Family,5,3.5,3920,7160,2005
398,4/11/07,848000,170000003,Single Family,4,3.25,2950,4382,2000
399,5/10/07,351000,173000024,Townhouse,3,3.25,1310,1281,2007
400,1/26/10,275500,173000036,Townhouse,3,3,1370,1001,2009
401,11/16/09,290000,173000037,Townhouse,3,2.25,1370,1363,2009
